target_horizon_days,model_name,feature_count,selection_rows,evaluation_rows,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,selection_aic,selection_bic,selection_cv_mse,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return,nonzero_count,alpha,l1_ratio
1,lasso,8,222,220,9.538814416345379e-05,0.007509439877131248,-1.880173572286377e-16,0.581081081081081,0.31214436676962865,-2053.1774902192824,-2049.77481283741,,0.00016867038653924183,0.009488112311284555,9.117518399480384e-18,0.5909090909090909,0.4882646738518184,0,0.002395026619987486,
1,elastic_net,8,222,220,9.538814416345379e-05,0.007509439877131248,-1.880173572286377e-16,0.581081081081081,0.31214436676962865,-2053.1774902192824,-2049.77481283741,,0.00016867038653924183,0.009488112311284555,9.117518399480384e-18,0.5909090909090909,0.4882646738518184,0,0.003562247890262444,0.7
1,ols,8,222,220,8.963418454490632e-05,0.007199820221014678,0.24560443518659028,0.5990990990990991,0.538821605459646,-2050.989780671033,-2020.3656842341823,,0.0001666893464676717,0.009433111706722192,0.13541495708048673,0.5454545454545454,0.35576781152969694,8,,
1,ridge,8,222,220,9.138781133878946e-05,0.007301931611556785,0.20685445837513433,0.5945945945945946,0.5052796794761241,-2046.6884544685963,-2016.0643580317458,,0.00016580789681658293,0.009366266548835373,0.13774384684447044,0.5727272727272728,0.44134786829937656,8,10.0,
2,ols,8,221,219,0.0001634320423657987,0.009813684013905992,0.3243367264853425,0.665158371040724,1.3669107803323102,-1908.9240386487368,-1878.340574335077,,0.0003259141330854496,0.013743373581615585,0.12817378149914413,0.5844748858447488,0.9865508161724772,8,,
2,ridge,8,221,219,0.00016593807526635445,0.00998365779171184,0.30332643423510336,0.6425339366515838,1.18498221592007,-1905.560989428905,-1874.9775251152453,,0.000322264163871563,0.013606048164506597,0.12713418073817712,0.589041095890411,0.8609617313511044,8,10.0,
2,lasso,8,221,219,0.00017672614616303387,0.010505370065507108,0.24545448629667196,0.6018099547511312,0.8725741447760675,-1903.6409376983365,-1893.4464495937832,,0.00031804389986214227,0.013358379137020577,0.136017735340467,0.6118721461187214,1.3948651939289904,2,0.0016102620275609393,
2,elastic_net,8,221,219,0.00017786808470909184,0.010540938298468526,0.2454334176480256,0.6018099547511312,0.8725741447760675,-1900.2175118828395,-1886.6248610767684,,0.00031853090787226367,0.013365471538225336,0.13621902187224952,0.6118721461187214,1.3948651939289904,3,0.003562247890262444,0.5
3,ols,8,220,218,0.000229261207094055,0.011944196906892095,0.3551190454085545,0.6909090909090909,2.247039024853895,-1825.7426836655468,-1795.2000357483755,,0.0005163990593365875,0.017813777063133418,0.12164760297519094,0.573394495412844,1.561102545652659,8,,
3,ridge,8,220,218,0.00023138207771962455,0.012028667449029614,0.34428269167589637,0.6909090909090909,2.2748072506263544,-1823.7168434980429,-1793.1741955808716,,0.0005147023339043845,0.017712063395791327,0.10882415824415,0.5825688073394495,1.74213229910369,8,10.0,
3,lasso,8,220,218,0.00025535754215670023,0.01274592086779035,0.2348652177087346,0.6136363636363636,1.226087819413943,-1812.026091127656,-1798.4515809422464,,0.0005048829968901474,0.01754375846278575,0.08016360572285956,0.591743119266055,2.227405396193811,3,0.002395026619987486,
3,elastic_net,8,220,218,0.00025655644276861817,0.012777011378609966,0.21531728397314645,0.6136363636363636,1.226087819413943,-1810.995610911746,-1797.4211007263366,,0.0005053988285810614,0.017555051074433083,0.07020441074742519,0.591743119266055,2.227405396193811,3,0.003562247890262444,0.7
